Code,Site,year,Sn50,,Sn347,,Sn262,,Sn463,,Sn558b,,Sn1015,,Sn1618,,,,,,,,,,,
PL 19-1,PL,2019,134,134,116,116,148,148,88,91,88,90,144,150,136,169,,,,,,,,,,
PL 19-10,PL,2019,134,134,116,116,148,152,88,91,86,88,146,146,136,136,,,,,,,,,,
PL 19-11,PL,2019,134,134,116,116,148,148,88,91,88,88,144,144,139,139,,,,,,,,,,
PL 19-12,PL,2019,134,134,116,116,148,148,0,0,86,90,146,146,151,151,,,,,,,,,,
PL 19-13,PL,2019,132,134,116,116,148,148,82,91,86,86,144,144,136,136,,,,,,,,,,
PL 19-14,PL,2019,134,134,116,116,148,148,88,103,90,92,144,150,136,136,,,,,,,,,,
PL 19-15,PL,2019,134,134,116,116,148,148,85,88,86,92,152,154,151,151,,,,,,,,,,
PL 19-2a,PL,2019,134,134,116,116,148,148,0,0,88,90,146,146,139,145,,,,,,,,,,
PL 19-2,PL,2019,134,134,116,116,148,148,82,82,88,88,146,146,142,160,,,,,,,,,,
PL 19-3,PL,2019,138,138,116,116,148,148,0,0,88,88,146,146,136,136,,,,,,,,,,
PL 19-4,PL,2019,134,138,116,116,148,148,88,88,86,92,144,144,136,160,,,,,,,,,,
PL 19-5,PL,2019,134,134,116,116,148,148,85,88,0,0,146,146,136,136,,,,,,,,,,
PL 19-6,PL,2019,134,134,116,116,148,148,91,91,86,88,146,146,136,136,,,,,,,,,,
PL 19-7,PL,2019,134,134,116,116,148,148,82,94,86,88,144,144,136,136,,,,,,,,,,
PL 19-8,PL,2019,134,134,116,116,148,148,85,88,86,90,144,144,160,160,,,,,,,,,,
PL 19-9,PL,2019,134,134,118,118,148,148,0,0,86,90,146,146,136,136,,,,,,,,,,
JT 19-1,JT,2019,134,134,114,114,146,148,85,88,86,88,146,146,136,139,,,,,,,,,,
JT 19-10,JT,2019,134,134,116,118,148,152,88,91,82,86,144,146,133,133,,,,,,,,,,
JT 19-11,JT,2019,134,134,118,118,148,148,91,91,84,88,144,146,136,136,,,,,,,,,,
JT 19-12,JT,2019,134,134,116,118,154,154,91,91,86,88,144,146,133,136,,,,,,,,,,
JT 19-13,JT,2019,134,134,100,116,146,152,85,88,84,88,144,144,133,133,,,,,,,,,,
JT 19-14,JT,2019,134,134,112,112,144,144,0,0,86,88,144,144,133,133,,,,,,,,,,
JT 19-15,JT,2019,134,134,112,118,148,158,0,0,86,88,144,144,133,136,,,,,,,,,,
JT 19-16,JT,2019,134,134,118,122,148,152,0,0,88,88,144,144,133,157,,,,,,,,,,
JT 19-17,JT,2019,134,134,118,118,152,158,85,91,86,86,144,144,136,157,,,,,,,,,,
JT 19-18a,JT,2019,134,134,116,118,148,148,0,0,86,86,146,146,133,157,,,,,,,,,,
JT 19-18,JT,2019,134,134,116,118,150,150,85,91,82,86,146,146,133,133,,,,,,,,,,
JT 19-19,JT,2019,134,134,116,116,148,148,88,91,86,86,146,146,133,133,,,,,,,,,,
JT 19-2a,JT,2019,134,134,116,118,148,148,85,88,86,86,0,0,133,136,,,,,,,,,,
JT 19-2,JT,2019,128,140,116,118,150,150,85,88,82,86,146,146,133,136,,,,,,,,,,
JT 19-20,JT,2019,134,134,118,122,150,150,85,94,86,86,146,146,157,172,,,,,,,,,,
JT 19-3,JT,2019,128,134,116,116,148,148,88,91,86,86,144,146,133,136,,,,,,,,,,
JT 19-4,JT,2019,134,134,118,118,148,148,85,88,86,88,144,146,133,133,,,,,,,,,,
JT 19-5,JT,2019,134,134,116,116,148,148,85,88,86,88,144,146,133,133,,,,,,,,,,
JT 19-6,JT,2019,134,134,116,118,146,146,0,0,86,86,146,146,133,136,,,,,,,,,,
JT 19-7,JT,2019,134,134,112,118,148,148,91,91,86,88,144,144,133,133,,,,,,,,,,
JT 19-8,JT,2019,134,134,116,118,148,148,88,88,82,86,144,144,133,136,,,,,,,,,,
JT 19-9,JT,2019,128,134,118,118,154,154,0,0,86,88,146,146,139,223,,,,,,,,,,
AH-1a,AzH,2019,134,134,118,118,148,148,85,88,86,86,146,146,136,139,,,,,,,,,,
AH-5a,AzH,2019,134,138,118,118,158,158,91,97,86,88,144,144,133,136,,,,,,,,,,
AH-6a,AzH,2019,134,134,112,118,148,148,85,88,88,88,144,146,142,142,,,,,,,,,,
AzH 19-1,AzH,2019,134,134,112,118,148,148,88,88,86,86,144,144,136,136,,,,,,,,,,
AzH 19-10,AzH,2019,134,134,114,114,148,148,88,88,86,86,144,148,136,136,,,,,,,,,,
AzH 19-11,AzH,2019,134,134,116,118,0,0,88,91,86,86,0,0,133,136,,,,,,,,,,
AzH 19-12,AzH,2019,134,134,112,112,148,148,85,91,86,86,144,146,136,139,,,,,,,,,,
AzH 19-13,AzH,2019,134,134,112,118,148,148,0,0,86,92,146,146,133,169,,,,,,,,,,
AzH 19-14,AzH,2019,134,138,118,118,148,164,91,100,86,88,144,144,172,172,,,,,,,,,,
AzH 19-15,AzH,2019,134,134,118,118,164,164,88,88,88,88,144,144,172,172,,,,,,,,,,
AzH 19-16a,AzH,2019,134,134,116,118,146,146,0,0,88,88,144,146,157,157,,,,,,,,,,
AzH 19-16,AzH,2019,126,134,116,118,150,164,85,100,88,88,146,148,154,154,,,,,,,,,,
AzH 19-2a,AzH,2019,144,144,0,0,148,148,0,0,86,86,146,146,133,136,,,,,,,,,,
AzH 19-2,AzH,2019,134,134,116,118,148,148,88,88,0,0,144,146,133,154,,,,,,,,,,
AzH 19-3a,AzH,2019,134,134,116,118,148,148,0,0,86,88,146,146,136,136,,,,,,,,,,
